id,time
39,0.0029768943786621094
79,0.0027234554290771484
119,0.003106355667114258
159,0.0029408931732177734
199,0.0029036998748779297
239,0.0038852691650390625
279,0.0030460357666015625
319,0.0038166046142578125
359,0.0038042068481445312
399,0.004246950149536133
439,0.004044055938720703
479,0.0026636123657226562
519,0.0037505626678466797
559,0.0028336048126220703
599,0.0036203861236572266
639,0.006615638732910156
679,0.0033457279205322266
719,0.003536224365234375
759,0.0038335323333740234
799,0.003215789794921875
839,0.003224611282348633
879,0.0036678314208984375
919,0.0037946701049804688
959,0.0038297176361083984
999,0.0037322044372558594
